,Deposit Name,Country,State,Class,LONG (WGS84) ddd.ddd,LAT (WGS84) ddd.ddd,DESCRIPTION,Pt,Pd,Au,Hg,Bi,Te,Ag,Sb,Al,As,Be,Ca,Cd,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Co,Cr,Cs,Cu,Fe,Ga,In,K,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,S,Sc,Se,Sn,Sr,Ta,Th,Ti,Tl,U,V,W,Y,Zn,Re,B,Hf,Ge,Si,Zr,Wt Total,Rh,Os,Ir,Ru
700001,Woodlawn,Australia,New South Wales,VHMS,149.569996,-35.062625,"""Complex ore"" banded massive sulphide",0.002,0.002,0.362,0.39,10.6,0.02,91.5,88,2700,318,,200,792,2.1,3.6,0.4,1.2,0.25,0.2,0.3,-0.05,0.15,-0.05,0.05,-0.05,0.1,-0.02,15,-50,-0.1,5300,273000,,3.84,100,0.5,24800,1290,9.2,100,-0.5,2,-50,55500,0.4,394000,2,110,340,1,-0.5,0.6,-100,1.8,2.8,5,1.5,1.2,153000,0.01,-20,0.4,,34200,60,159,,,,
700002,Woodlawn,Australia,New South Wales,VHMS,149.569996,-35.062625,Chloritic stringer ore with stringers of chalcopyrite and pyrite,0.001,0.002,0.095,0.12,125,0.22,44,4,26300,75,,1200,20,6,12.7,1.65,7.15,2.4,0.25,3.15,0.6,3.95,0.75,2.15,0.35,2.05,0.3,9,-50,0.7,119000,160000,,53.9,8600,8,14900,352,3.1,150,3.5,2,50,3300,44.4,161000,3,50,190,3,-0.5,5.4,200,2.4,2.4,15,2.5,18.5,3780,0.01,-20,0.2,,114000,20,143,,,,
700003,Hercules,Australia,Tasmania,VHMS,145.515162,-41.841336,Crudely banded massive sulphide,0.002,0.002,1.39,62.9,120,0.02,215,538,100,4820,,100,732,0.8,1.7,0.15,0.6,0.15,-0.05,0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.02,54,-50,0.6,4630,222000,,27.6,-50,-0.5,300,800,10.9,50,-0.5,4,-50,68500,0.6,324000,2,25,105,2,-0.5,0.4,-100,112,0.5,-5,4.5,0.3,219000,-0.01,-20,-0.2,,71500,-10,204,,,,
700004,Mara Rosa-(Zacarias mine),Brazil,Goiás,VHMS,-49.177603,-13.97526,Disseminated pyrite in coarse biotite-quartz-feldspar schist,0.003,0.005,0.086,0.03,0.72,0.8,2.5,2.2,37800,11,,15900,2.5,8.5,16.6,2.05,7.8,1.75,0.5,1.65,0.2,1.25,0.2,0.6,0.1,0.45,0.06,33,1050,1.5,275,68000,,-0.02,16400,15,21600,462,2.8,3900,1.5,106,100,323,60.2,36000,10,-5,-5,117,-0.5,2.4,2200,2.1,0.7,95,1.5,6.3,755,0.01,-20,2,,244000,70,185,,,,
700005,Gossan Hill,Australia,Western Australia,VHMS,116.963014,-28.777512,3-30 mm  thick bands of brown sphalerite and pyrite interbedded with siliceous fine grained volcaniclastic rock,0.003,0.005,3.94,4.01,0.34,0.06,162,544,19600,1010,,200,548,1.1,1.8,0.2,0.9,0.25,0.5,0.4,0.1,0.65,0.15,0.6,0.1,0.75,0.12,80,-50,0.4,2440,83500,,17,5850,1.5,800,188,1.1,1300,-0.5,20,-50,733,22.6,165000,7,10,245,9,-0.5,0.4,700,52.1,0.1,60,4.5,4.5,173000,-0.01,-20,-0.2,,142000,-10,280,,,,
700006,Gossan Hill,Australia,Western Australia,VHMS,116.963014,-28.777512,"Webwork of brown sphalerite, galena and pyrite intergrown with silica matrix",-0.001,0.001,0.122,5.87,0.08,0.04,407,336,500,61,,1400,330,0.5,0.8,0.1,0.3,0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.02,34,-50,-0.1,190,26800,,0.12,-50,-0.5,100,216,1.3,-50,-0.5,4,-50,71200,0.6,181000,1,15,5,1,-0.5,-0.1,-100,0.6,-0.1,-5,0.5,0.3,293000,-0.01,-20,-0.2,,162000,-10,156,,,,
700007,Gossan Hill,Australia,Western Australia,VHMS,116.963014,-28.777512,Granular brown sphalerite with lesser pyrite and galena,-0.001,0.002,11.5,4.45,0.7,0.04,614,620,1100,667,,-100,567,0.3,0.5,-0.05,0.2,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.05,-0.02,127,-50,-0.1,395,131000,,0.34,100,-0.5,-100,178,9,50,-0.5,120,-50,139000,0.4,325000,-1,20,85,-1,-0.5,0.1,-100,5.8,-0.1,-5,0.5,0.2,371000,-0.01,-20,-0.2,,23700,-10,230,,,,
700008,Dumagami,Canada,Québec,VHMS,-78.525594,48.258219,Stringer and disseminated pyrite in chloritic host rock,0.004,0.004,0.268,0.03,17.1,5,2.5,1.8,96300,35,,52400,0.7,3.5,9.2,1.4,6.95,1.9,0.4,2,0.3,1.9,0.35,0.9,0.15,0.9,0.12,46,50,0.2,775,248000,,0.42,200,15,33900,844,19,1250,1.5,84,650,110,1.4,166000,24,5,-5,87,-0.5,1.6,4200,0.2,0.2,250,1.5,8.9,305,0.01,-20,0.4,,82200,30,132,,,,
700009,Dumagami,Canada,Québec,VHMS,-78.525594,48.258219,Fine-grained massive pyrite,-0.001,0.003,4.17,0.17,224,57.4,54,6,3000,148,,6500,45.9,0.4,1,0.15,0.7,0.15,0.05,0.25,-0.05,0.35,0.05,0.25,-0.05,0.3,0.04,138,-50,0.2,5540,426000,,1.34,550,2,500,118,3.5,1050,-0.5,16,-50,3850,1.6,478000,-1,35,-5,4,-0.5,0.4,200,2.1,-0.1,-5,1,2.2,5850,-0.01,-20,-0.2,,28300,-10,225,,,,
700010,Amulet,Canada,Québec,VHMS,-79.067445,48.307219,Domains of granular brown sphalerite and domains of pyrite-sphalerite-chalcopyrite,0.001,0.001,3.77,0.37,20.7,0.88,71,1.6,2300,11,,57800,1230,14.8,42.2,7.35,36.6,9.55,5.9,9.35,1.05,5.15,0.75,1.65,0.2,1.05,0.1,202,-50,-0.1,36700,150000,,0.14,100,-0.5,1300,608,3.4,50,-0.5,4,-50,448,0.4,247000,-1,95,70,5,-0.5,-0.1,-100,0.8,-0.1,-5,2,31.1,285000,0.01,-20,2.6,,56600,80,165,,,,
