FID,ID,COMPANY,SAMPLE,TYPE,MESH,DATUM,PROJECTION,EASTING,NORTHING,LONGITUDE,LATITUDE,WGS84,WGS840,REPORTNO,LITHOLOGY,HORIZON,REGOLITH,METHOD,AG_PPB,AS_,AU_PPB,AU1_PPB,AU2_PPB,BI,CO,CU,HG,MO,NI,PB,PT_PPB,SB,SN,TE,U,W,ZN
0,3151495, ,294001, , ,MGA94,MGA56,427164.78,7101894.11,152.271,-26.2006,152.271,-26.2006, , , , , ,0.00005,0.00005,10,0,0,0,47,79,0,7,69,0.00005,0,8,0,0,0,0,46
1,3151496, ,294002, , ,MGA94,MGA56,427213.67,7101895.44,152.271,-26.2006,152.271,-26.2006, , , , , ,0.00005,5,0.00005,0,0,0,61,30,0,0.00005,80,13,0,0.00005,0,0,0,0,78
2,3151497, ,294003, , ,MGA94,MGA56,427262.56,7101896.78,152.272,-26.2006,152.272,-26.2006, , , , , ,0.00005,24,0.00005,0,0,0,68,44,0,8,87,11,0,0.00005,0,0,0,0,54
3,3151498, ,294004, , ,MGA94,MGA56,427311.44,7101898.11,152.272,-26.2006,152.272,-26.2006, , , , , ,0.00005,39,0.00005,0,0,0,47,53,0,6,87,9,0,0.00005,0,0,0,0,30
4,3151499, ,294005, , ,MGA94,MGA56,427360.33,7101899.44,152.273,-26.2006,152.273,-26.2006, , , , , ,0.00005,50,10,0,0,0,22,72,0,8,107,20,0,6,0,0,0,0,56
5,3151500, ,294006, , ,MGA94,MGA56,427409.22,7101900.78,152.273,-26.2006,152.273,-26.2006, , , , , ,0.00005,9,0.00005,0,0,0,73,142,0,10,325,0.00005,0,5,0,0,0,0,49
6,3151501, ,294007, , ,MGA94,MGA56,427458.11,7101902.11,152.274,-26.2006,152.274,-26.2006, , , , , ,0.00005,8,380,180,0,0,107,107,0,8,142,0.00005,0,11,0,0,0,0,39
7,3151502, ,294008, , ,MGA94,MGA56,427507,7101903.44,152.274,-26.2006,152.274,-26.2006, , , , , ,0.00005,8,10,0,0,0,45,42,0,6,84,0.00005,0,0.00005,0,0,0,0,43
8,3151503, ,294009, , ,MGA94,MGA56,427555.89,7101904.78,152.275,-26.2005,152.275,-26.2005, , , , , ,0.00005,20,10,10,0,0,41,45,0,8,83,0.00005,0,7,0,0,0,0,32
9,3151504, ,294010, , ,MGA94,MGA56,427604.78,7101906.11,152.275,-26.2005,152.275,-26.2005, , , , , ,0.00005,21,90,0,0,0,28,625,0,7,236,0.00005,0,16,0,0,0,0,35
10,3151505, ,294011, , ,MGA94,MGA56,427653.67,7101907.44,152.276,-26.2005,152.276,-26.2005, , , , , ,0.00005,19,30,0,0,0,134,139,0,7,1320,0.00005,0,9,0,0,0,0,51
11,3151506, ,294012, , ,MGA94,MGA56,427702.56,7101908.78,152.276,-26.2005,152.276,-26.2005, , , , , ,0.00005,16,30,0,0,0,132,66,0,5,1790,0.00005,0,5,0,0,0,0,51
12,3151507, ,294013, , ,MGA94,MGA56,427751.44,7101910.11,152.277,-26.2005,152.277,-26.2005, , , , , ,0.00005,14,70,0,0,0,118,249,0,6,1630,51,0,6,0,0,0,0,75
13,3151508, ,294014, , ,MGA94,MGA56,427800.33,7101911.44,152.277,-26.2005,152.277,-26.2005, , , , , ,0.00005,24,0.00005,0,0,0,9,28,0,0.00005,49,9,0,0.00005,0,0,0,0,42
14,3151509, ,294015, , ,MGA94,MGA56,427849.22,7101912.78,152.278,-26.2005,152.278,-26.2005, , , , , ,0.00005,24,0.00005,0,0,0,6,22,0,8,41,7,0,0.00005,0,0,0,0,19
15,3151510, ,294016, , ,MGA94,MGA56,427898.11,7101914.11,152.278,-26.2005,152.278,-26.2005, , , , , ,0.00005,49,0.00005,0,0,0,0.00005,20,0,6,21,8,0,0.00005,0,0,0,0,20
16,3151511, ,294017, , ,MGA94,MGA56,427947,7101915.44,152.279,-26.2005,152.279,-26.2005, , , , , ,0.00005,24,0.00005,0,0,0,0.00005,11,0,6,16,10,0,0.00005,0,0,0,0,14
17,3151512, ,294018, , ,MGA94,MGA56,427995.89,7101916.78,152.279,-26.2005,152.279,-26.2005, , , , , ,0.00005,21,0.00005,0,0,0,0.00005,17,0,0.00005,10,10,0,0.00005,0,0,0,0,19
18,3151513, ,294019, , ,MGA94,MGA56,428044.78,7101918.11,152.28,-26.2004,152.28,-26.2004, , , , , ,0.00005,22,10,10,0,0,7,34,0,7,17,13,0,0.00005,0,0,0,0,37
19,3151514, ,294020, , ,MGA94,MGA56,428093.67,7101919.44,152.28,-26.2004,152.28,-26.2004, , , , , ,0.00005,168,20,0,0,0,8,251,0,7,14,29,0,0.00005,0,0,0,0,43
20,3151515, ,294021, , ,MGA94,MGA56,428142.56,7101920.78,152.281,-26.2004,152.281,-26.2004, , , , , ,0.00005,15,10,0,0,0,0.00005,11,0,7,12,16,0,0.00005,0,0,0,0,29
21,3151516, ,294023, , ,MGA94,MGA56,427211,7101993.22,152.271,-26.1997,152.271,-26.1997, , , , , ,0.00005,0.00005,10,0,0,0,177,15,0,0.00005,2040,0.00005,0,0.00005,0,0,0,0,61
22,3151517, ,294024, , ,MGA94,MGA56,427259.89,7101994.56,152.272,-26.1997,152.272,-26.1997, , , , , ,0.00005,8,0.00005,0,0,0,192,27,0,0.00005,2170,0.00005,0,0.00005,0,0,0,0,122
23,3151518, ,294025, , ,MGA94,MGA56,427308.78,7101995.89,152.272,-26.1997,152.272,-26.1997, , , , , ,0.00005,12,10,0,0,0,68,40,0,9,198,8,0,7,0,0,0,0,57
24,3151519, ,294026, , ,MGA94,MGA56,427357.67,7101997.22,152.273,-26.1997,152.273,-26.1997, , , , , ,0.00005,72,20,0,0,0,36,66,0,13,129,43,0,0.00005,0,0,0,0,102
25,3151520, ,294027, , ,MGA94,MGA56,427406.56,7101998.56,152.273,-26.1997,152.273,-26.1997, , , , , ,0.00005,117,10,0,0,0,36,88,0,19,87,28,0,9,0,0,0,0,46
26,3151521, ,294028, , ,MGA94,MGA56,427455.44,7101999.89,152.274,-26.1997,152.274,-26.1997, , , , , ,0.00005,10,30,0,0,0,89,132,0,9,233,0.00005,0,8,0,0,0,0,54
27,3151522, ,294029, , ,MGA94,MGA56,427504.33,7102001.22,152.274,-26.1997,152.274,-26.1997, , , , , ,0.00005,0.00005,20,0,0,0,67,31,0,6,117,0.00005,0,10,0,0,0,0,32
28,3151523, ,294030, , ,MGA94,MGA56,427553.22,7102002.56,152.275,-26.1997,152.275,-26.1997, , , , , ,0.00005,0.00005,10,0,0,0,46,20,0,7,80,0.00005,0,0.00005,0,0,0,0,46
29,3151524, ,294031, , ,MGA94,MGA56,427602.11,7102003.89,152.275,-26.1996,152.275,-26.1996, , , , , ,0.00005,0.00005,20,0,0,0,50,113,0,9,115,0.00005,0,0.00005,0,0,0,0,41
30,3151525, ,294032, , ,MGA94,MGA56,427651,7102005.22,152.276,-26.1996,152.276,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,50,52,0,8,135,0.00005,0,6,0,0,0,0,38
31,3151526, ,294033, , ,MGA94,MGA56,427699.89,7102006.56,152.276,-26.1996,152.276,-26.1996, , , , , ,0.00005,11,10,0,0,0,237,16,0,0.00005,2910,0.00005,0,7,0,0,0,0,65
32,3151527, ,294034, , ,MGA94,MGA56,427748.78,7102007.89,152.277,-26.1996,152.277,-26.1996, , , , , ,0.00005,11,10,0,0,0,224,11,0,5,2970,0.00005,0,6,0,0,0,0,65
33,3151528, ,294035, , ,MGA94,MGA56,427797.67,7102009.22,152.277,-26.1996,152.277,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,114,22,0,6,895,0.00005,0,6,0,0,0,0,48
34,3151529, ,294036, , ,MGA94,MGA56,427846.56,7102010.56,152.278,-26.1996,152.278,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,79,32,0,5,681,0.00005,0,0.00005,0,0,0,0,64
35,3151530, ,294037, , ,MGA94,MGA56,427895.44,7102011.89,152.278,-26.1996,152.278,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,101,53,0,5,787,0.00005,0,0.00005,0,0,0,0,74
36,3151531, ,294038, , ,MGA94,MGA56,427944.33,7102013.22,152.279,-26.1996,152.279,-26.1996, , , , , ,0.00005,12,10,0,0,0,27,102,0,9,263,0.00005,0,0.00005,0,0,0,0,47
37,3151532, ,294039, , ,MGA94,MGA56,427993.22,7102014.56,152.279,-26.1996,152.279,-26.1996, , , , , ,0.00005,0.00005,0.00005,0,0,0,5,10,0,6,24,5,0,0.00005,0,0,0,0,29
38,3151533, ,294040, , ,MGA94,MGA56,428042.11,7102015.89,152.28,-26.1996,152.28,-26.1996, , , , , ,0.00005,15,0.00005,0.00005,0,0,6,12,0,8,24,8,0,0.00005,0,0,0,0,43
39,3151534, ,294041, , ,MGA94,MGA56,428091,7102017.22,152.28,-26.1996,152.28,-26.1996, , , , , ,0.00005,16,0.00005,0,0,0,0.00005,11,0,6,16,11,0,0.00005,0,0,0,0,31
40,3151535, ,294042, , ,MGA94,MGA56,428139.89,7102018.56,152.281,-26.1995,152.281,-26.1995, , , , , ,0.00005,10,0.00005,0,0,0,9,10,0,9,23,8,0,0.00005,0,0,0,0,34
41,3151536, ,294044, , ,MGA94,MGA56,427208.33,7102091,152.271,-26.1988,152.271,-26.1988, , , , , ,0.00005,0.00005,0.00005,0,0,0,186,11,0,0.00005,1920,0.00005,0,0.00005,0,0,0,0,83
42,3151537, ,294045, , ,MGA94,MGA56,427257.22,7102092.33,152.272,-26.1988,152.272,-26.1988, , , , , ,0.00005,0.00005,0.00005,0,0,0,145,21,0,0.00005,2110,5,0,0.00005,0,0,0,0,81
43,3151538, ,294046, , ,MGA94,MGA56,427306.11,7102093.67,152.272,-26.1988,152.272,-26.1988, , , , , ,0.00005,11,10,0,0,0,165,16,0,5,3050,0.00005,0,0.00005,0,0,0,0,61
44,3151539, ,294047, , ,MGA94,MGA56,427355,7102095,152.273,-26.1988,152.273,-26.1988, , , , , ,0.00005,23,20,0,0,0,44,128,0,6,104,28,0,0.00005,0,0,0,0,47
45,3151540, ,294048, , ,MGA94,MGA56,427403.89,7102096.33,152.273,-26.1988,152.273,-26.1988, , , , , ,0.00005,100,20,0,0,0,22,99,0,10,89,19,0,0.00005,0,0,0,0,44
46,3151541, ,294049, , ,MGA94,MGA56,427452.78,7102097.67,152.274,-26.1988,152.274,-26.1988, , , , , ,0.00005,9,70,0,0,0,58,184,0,10,196,0.00005,0,12,0,0,0,0,42
47,3151542, ,294050, , ,MGA94,MGA56,427501.67,7102099,152.274,-26.1988,152.274,-26.1988, , , , , ,0.00005,0.00005,10,0,0,0,61,24,0,7,186,0.00005,0,6,0,0,0,0,45
48,3151543, ,294051, , ,MGA94,MGA56,427550.56,7102100.33,152.275,-26.1988,152.275,-26.1988, , , , , ,0.00005,0.00005,10,0,0,0,22,23,0,8,51,0.00005,0,0.00005,0,0,0,0,67
49,3151544, ,294052, , ,MGA94,MGA56,427599.44,7102101.67,152.275,-26.1988,152.275,-26.1988, , , , , ,0.00005,5,10,0,0,0,59,299,0,10,185,0.00005,0,14,0,0,0,0,60
50,3151545, ,294053, , ,MGA94,MGA56,427648.33,7102103,152.276,-26.1988,152.276,-26.1988, , , , , ,0.00005,57,60,0,0,0,207,632,0,10,4380,0.00005,0,16,0,0,0,0,284
51,3151546, ,294054, , ,MGA94,MGA56,427697.22,7102104.33,152.276,-26.1987,152.276,-26.1987, , , , , ,0.00005,20,10,0,0,0,116,224,0,8,2090,0.00005,0,10,0,0,0,0,126
52,3151547, ,294055, , ,MGA94,MGA56,427746.11,7102105.67,152.277,-26.1987,152.277,-26.1987, , , , , ,0.00005,8,0.00005,0.00005,0,0,187,19,0,5,2900,0.00005,0,5,0,0,0,0,70
53,3151548, ,294056, , ,MGA94,MGA56,427795,7102107,152.277,-26.1987,152.277,-26.1987, , , , , ,0.00005,17,50,0,0,0,114,29,0,6,1810,0.00005,0,5,0,0,0,0,69
54,3151549, ,294057, , ,MGA94,MGA56,427843.89,7102108.33,152.278,-26.1987,152.278,-26.1987, , , , , ,0.00005,0.00005,0.00005,0,0,0,52,48,0,7,718,0.00005,0,0.00005,0,0,0,0,75
